customerid,count,country,state,city,zip_code,lat_long,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason,age,under_30,married,number_of_dependents,satisfaction_score,customer_status,quarter,referred_a_friend,number_of_referrals,tenure_in_months,avg_monthly_long_distance_charges,internet_type,avg_monthly_gb_download,device_protection_plan,premium_tech_support,streaming_music,unlimited_data,monthly_charge,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue
7133-VBDCG,1,United States,California,Bakersfield,93311,"35.16207, -119.194488",35.16207,-119.194488,Female,No,No,No,25,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.85,2015.35,Yes,1,85,4535,Competitor offered higher download speeds,54,No,No,0,2,Churned,Q3,No,0,25,26.81,Fiber Optic,12,No,No,No,Yes,79.85,0.0,0,670.25,2685.6
4952-YSOGZ,1,United States,California,Lompoc,93436,"34.601055, -120.382917",34.601055,-120.382917,Female,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,381.3,Yes,1,74,5640,Competitor offered more data,48,No,Yes,0,3,Churned,Q3,Yes,1,4,4.14,Fiber Optic,30,No,No,Yes,Yes,85.95,0.0,0,16.56,397.86
1589-AGTLK,1,United States,California,Lompoc,93437,"34.757477, -120.550507",34.757477,-120.550507,Male,No,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.35,141.5,Yes,1,67,2450,Competitor offered more data,26,Yes,No,0,3,Churned,Q3,No,0,3,36.48,DSL,59,No,No,No,Yes,45.35,0.0,0,109.44,250.94
5244-IRFIH,1,United States,California,Los Alamos,93440,"34.758699, -120.275839",34.758699,-120.275839,Male,Yes,Yes,No,33,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.5,3105.55,Yes,1,96,4333,Competitor made better offer,72,No,Yes,0,3,Churned,Q3,Yes,1,33,27.78,Fiber Optic,8,No,No,No,Yes,94.5,0.0,0,916.74,4022.29
2684-EIWEO,1,United States,California,Oceano,93445,"35.059695, -120.604741",35.059695,-120.604741,Female,Yes,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),91.7,2758.15,Yes,1,97,2482,Competitor made better offer,69,No,No,0,1,Churned,Q3,No,0,30,45.88,Fiber Optic,19,Yes,No,No,Yes,91.7,0.0,0,1376.4,4134.55
6439-GTPCA,1,United States,California,Pismo Beach,93449,"35.165668, -120.655842",35.165668,-120.655842,Female,No,No,No,45,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,87.25,3941.7,Yes,1,73,5269,Competitor had better devices,29,Yes,No,0,1,Churned,Q3,No,0,45,4.48,Cable,51,Yes,Yes,No,Yes,87.25,0.0,0,201.60000000000002,4143.3
5138-WVKYJ,1,United States,California,Mojave,93501,"35.097323, -118.171288",35.097323,-118.171288,Male,No,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.55,1008.55,Yes,1,80,3658,Competitor offered higher download speeds,51,No,No,0,1,Churned,Q3,No,0,10,27.57,Fiber Optic,13,No,No,Yes,Yes,98.55,0.0,0,275.7,1284.25
6683-VLCTZ,1,United States,California,Johannesburg,93528,"35.363339, -117.637641",35.363339,-117.637641,Male,Yes,No,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.55,1842.8,Yes,1,92,5444,Competitor offered more data,73,No,No,0,3,Churned,Q3,No,0,20,44.44,Fiber Optic,13,Yes,No,No,No,98.55,0.0,120,888.8,2851.6
2189-WWOEW,1,United States,California,Keene,93531,"35.214982, -118.59049",35.214982,-118.59049,Female,No,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.9,1269.55,Yes,1,96,3579,Don't know,37,No,No,0,3,Churned,Q3,No,0,15,24.63,Fiber Optic,13,No,No,Yes,Yes,85.9,0.0,0,369.45,1639.0
1894-IGFSG,1,United States,California,Lancaster,93535,"34.712708, -117.889656",34.712708,-117.889656,Female,No,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.25,1907.85,Yes,1,82,3161,Competitor had better devices,38,No,No,0,1,Churned,Q3,No,0,22,18.01,Fiber Optic,2,No,No,Yes,Yes,89.25,0.0,0,396.22,2304.0699999999997
7379-POKDZ,1,United States,California,Lancaster,93536,"34.741406, -118.38111",34.741406,-118.38111,Male,No,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,208.85,Yes,1,66,3038,Competitor had better devices,31,No,Yes,0,1,Churned,Q3,Yes,1,3,26.71,Fiber Optic,11,No,No,No,Yes,70.3,0.0,0,80.13,288.98
0236-HFWSV,1,United States,California,Palmdale,93552,"34.557711, -118.029441",34.557711,-118.029441,Male,No,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.35,1444.65,Yes,1,77,5264,Competitor offered higher download speeds,49,No,No,0,1,Churned,Q3,No,0,15,48.93,Fiber Optic,15,No,No,Yes,Yes,93.35,0.0,0,733.95,2178.6000000000004
5842-POCOP,1,United States,California,Randsburg,93554,"35.405722, -117.773354",35.405722,-117.773354,Female,No,Yes,No,5,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,88.9,454.15,Yes,1,79,4356,Competitor offered higher download speeds,37,No,Yes,0,1,Churned,Q3,Yes,1,5,41.57,Cable,27,Yes,No,Yes,Yes,88.9,0.0,0,207.85,662.0
2037-XJFUP,1,United States,California,Ridgecrest,93555,"35.603913, -117.67828",35.603913,-117.67828,Male,No,Yes,No,33,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,95.8,3036.75,Yes,1,76,4161,Competitor offered more data,24,Yes,Yes,0,2,Churned,Q3,Yes,1,33,41.8,Fiber Optic,41,Yes,No,Yes,No,95.8,0.0,60,1379.3999999999999,4476.15
7314-OXENN,1,United States,California,Trona,93562,"35.74837, -117.384948",35.74837,-117.384948,Male,No,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,82.0,184.65,Yes,1,97,3051,Competitor offered more data,42,No,No,0,3,Churned,Q3,No,0,2,41.18,Fiber Optic,14,No,No,No,Yes,82.0,0.0,0,82.36,267.01
0322-CHQRU,1,United States,California,Palmdale,93591,"34.598221, -117.79593",34.598221,-117.79593,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.35,89.5,Yes,1,81,3478,Competitor offered more data,63,No,No,0,1,Churned,Q3,No,0,2,25.49,DSL,9,No,No,No,Yes,45.35,0.0,0,50.98,140.48
4678-DVQEO,1,United States,California,Bass Lake,93604,"37.458367, -119.345011",37.458367,-119.345011,Female,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,52.2,52.2,Yes,1,71,4138,Competitor made better offer,41,No,No,0,1,Churned,Q3,No,0,1,34.04,DSL,23,No,Yes,No,Yes,52.2,0.0,0,34.04,86.24000000000001
0691-IFBQW,1,United States,California,Biola,93606,"36.798882, -120.019511",36.798882,-120.019511,Female,Yes,No,No,46,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,110.0,4874.8,Yes,1,81,2403,Competitor made better offer,65,No,No,0,1,Churned,Q3,No,0,46,2.37,Fiber Optic,20,Yes,No,Yes,Yes,110.0,0.0,0,109.02000000000001,4983.820000000001
3009-JWMPU,1,United States,California,Five Points,93624,"36.397745, -120.119911",36.397745,-120.119911,Male,No,No,No,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,96.75,6125.4,Yes,1,92,5016,Attitude of service provider,58,No,No,0,2,Churned,Q3,No,0,62,22.64,Fiber Optic,9,Yes,No,Yes,Yes,96.75,0.0,0,1403.68,7529.08
1450-GALXR,1,United States,California,Friant,93626,"37.027663, -119.69056",37.027663,-119.69056,Female,No,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,1058.25,Yes,1,74,5184,Attitude of service provider,33,No,No,0,1,Churned,Q3,No,0,10,14.53,Fiber Optic,30,No,Yes,Yes,No,98.5,0.0,110,145.29999999999998,1313.55
3138-BKYAV,1,United States,California,Kerman,93630,"36.727418, -120.123526",36.727418,-120.123526,Male,No,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.35,489.45,Yes,1,75,4694,Attitude of service provider,61,No,No,0,3,Churned,Q3,No,0,6,11.97,Fiber Optic,27,No,No,No,Yes,85.35,0.0,0,71.82000000000001,561.27
4289-DTDKW,1,United States,California,Madera,93637,"36.902954, -120.194274",36.902954,-120.194274,Male,No,Yes,No,40,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.3,4113.1,Yes,1,70,2576,Attitude of support person,54,No,Yes,0,1,Churned,Q3,Yes,1,40,22.56,Cable,4,No,No,Yes,Yes,101.3,0.0,0,902.4,5015.5
1820-TQVEV,1,United States,California,Madera,93638,"37.004068, -119.930027",37.004068,-119.930027,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,Yes,1,76,3042,Attitude of support person,27,Yes,No,0,2,Churned,Q3,No,0,1,49.43,Fiber Optic,48,No,No,Yes,Yes,69.55,0.0,0,49.43,118.97999999999999
2239-JALAW,1,United States,California,Mendota,93640,"36.687292, -120.437354",36.687292,-120.437354,Male,No,No,No,58,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.25,6017.65,Yes,1,74,6105,Attitude of support person,20,Yes,No,0,1,Churned,Q3,No,0,58,44.5,Fiber Optic,47,Yes,No,Yes,Yes,103.25,0.0,0,2581.0,8598.65
4853-RULSV,1,United States,California,Miramonte,93641,"36.696759, -119.024051",36.696759,-119.024051,Male,No,No,No,70,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),104.0,7250.15,Yes,1,80,4544,Attitude of service provider,25,Yes,No,0,1,Churned,Q3,No,0,70,12.19,Fiber Optic,42,No,Yes,Yes,Yes,104.0,0.0,0,853.3,8103.45
6275-YDUVO,1,United States,California,Orosi,93647,"36.600185, -119.175655",36.600185,-119.175655,Female,No,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86.2,178.7,Yes,1,95,2969,Attitude of service provider,62,No,No,0,3,Churned,Q3,No,0,2,24.05,Fiber Optic,27,Yes,No,Yes,Yes,86.2,0.0,0,48.1,226.79999999999998
0115-TFERT,1,United States,California,Fresno,93650,"36.841655, -119.797113",36.841655,-119.797113,Male,No,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,Yes,1,89,4123,Attitude of service provider,24,Yes,Yes,0,3,Churned,Q3,Yes,1,21,36.26,Fiber Optic,59,Yes,Yes,Yes,No,111.2,0.0,120,761.4599999999999,3198.56
2311-QYMUQ,1,United States,California,San Joaquin,93660,"36.600193, -120.153393",36.600193,-120.153393,Female,No,Yes,No,16,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.45,1430.25,Yes,1,73,3696,Attitude of support person,41,No,Yes,0,3,Churned,Q3,Yes,1,16,31.73,Fiber Optic,25,Yes,No,No,Yes,89.45,0.0,0,507.68,1937.93
3643-AHCFP,1,United States,California,Selma,93662,"36.545322, -119.642281",36.545322,-119.642281,Male,Yes,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.6,644.35,Yes,1,83,3265,Competitor made better offer,74,No,Yes,0,3,Churned,Q3,Yes,1,7,21.91,Cable,11,No,No,No,Yes,95.6,0.0,0,153.37,797.72
3104-OWCGK,1,United States,California,South Dos Palos,93665,"36.959731, -120.653519",36.959731,-120.653519,Male,No,Yes,No,60,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,90.95,5453.4,Yes,1,76,4111,Moved,21,Yes,Yes,0,3,Churned,Q3,Yes,1,60,33.25,Fiber Optic,52,Yes,No,Yes,Yes,90.95,0.0,0,1995.0,7448.4
9101-BWFSS,1,United States,California,Tollhouse,93667,"36.993666, -119.348267",36.993666,-119.348267,Female,No,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,108.55,5610.7,Yes,1,82,4274,Moved,58,No,Yes,0,2,Churned,Q3,Yes,1,50,29.43,Fiber Optic,14,No,Yes,Yes,Yes,108.55,0.0,0,1471.5,7082.2
9231-ZJYAM,1,United States,California,Squaw Valley,93675,"36.719141, -119.202677",36.719141,-119.202677,Female,Yes,No,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.85,292.8,Yes,1,72,5301,Moved,65,No,No,0,3,Churned,Q3,No,0,4,36.93,Fiber Optic,18,No,No,No,Yes,78.85,0.0,0,147.72,440.52
6982-SSHFK,1,United States,California,Fresno,93703,"36.768774, -119.762633",36.768774,-119.762633,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.4,44.4,Yes,1,89,3522,Competitor offered higher download speeds,45,No,No,0,1,Churned,Q3,No,0,1,32.44,DSL,12,No,No,No,Yes,44.4,0.0,0,32.44,76.84
0727-BMPLR,1,United States,California,Fresno,93706,"36.654614, -119.903674",36.654614,-119.903674,Female,Yes,No,No,55,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,100.0,5509.3,Yes,1,83,5679,Competitor offered higher download speeds,66,No,No,0,3,Churned,Q3,No,0,55,37.38,Fiber Optic,7,Yes,No,Yes,No,100.0,0.0,100,2055.9,7665.200000000001
3027-ZTDHO,1,United States,California,Fresno,93721,"36.732694, -119.783786",36.732694,-119.783786,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.9,89.9,Yes,1,80,5951,Don't know,21,Yes,No,0,1,Churned,Q3,No,0,1,32.85,Fiber Optic,53,No,No,Yes,Yes,89.9,0.0,0,32.85,122.75
2382-BCKQJ,1,United States,California,Big Sur,93920,"36.092975, -121.549826",36.092975,-121.549826,Female,No,No,No,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,100.15,6413.65,Yes,1,91,5600,Competitor offered higher download speeds,41,No,No,0,3,Churned,Q3,No,0,62,32.58,Fiber Optic,15,Yes,No,Yes,Yes,100.15,0.0,0,2019.9599999999998,8433.609999999999
2207-NHRJK,1,United States,California,Carmel,93923,"36.460611, -121.852507",36.460611,-121.852507,Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,50.8,50.8,Yes,1,85,3718,Competitor offered higher download speeds,58,No,No,0,1,Churned,Q3,No,0,1,1.28,DSL,27,No,No,No,Yes,50.8,0.0,0,1.28,52.08
0947-MUGVO,1,United States,California,Jolon,93928,"35.930782, -121.189757",35.930782,-121.189757,Male,Yes,Yes,No,20,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,73.65,1463.5,Yes,1,95,5849,Competitor offered higher download speeds,71,No,Yes,0,1,Churned,Q3,Yes,1,20,5.37,Fiber Optic,24,No,No,No,Yes,73.65,0.0,0,107.4,1570.9
9944-HKVVB,1,United States,California,King City,93930,"36.220761, -120.980777",36.220761,-120.980777,Female,No,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,307.4,Yes,1,77,5861,Competitor offered higher download speeds,55,No,No,0,1,Churned,Q3,No,0,3,47.62,Cable,29,No,No,Yes,Yes,95.1,0.0,0,142.85999999999999,450.26
4124-MMETB,1,United States,California,Lockwood,93932,"35.989792, -121.055933",35.989792,-121.055933,Male,No,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.65,2104.55,Yes,1,85,3665,Competitor offered higher download speeds,52,No,No,0,2,Churned,Q3,No,0,22,46.28,Fiber Optic,16,No,No,Yes,No,94.65,0.0,40,1018.1600000000001,3162.71
3671-SHRSP,1,United States,California,Marina,93933,"36.689582, -121.758398",36.689582,-121.758398,Male,No,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,80.6,319.15,Yes,1,86,3080,Competitor offered more data,46,No,Yes,0,3,Churned,Q3,Yes,1,4,14.3,Fiber Optic,2,Yes,Yes,No,Yes,80.6,0.0,0,57.2,376.34999999999997
3313-QKNKB,1,United States,California,Pebble Beach,93953,"36.587497, -121.944815",36.587497,-121.944815,Male,No,Yes,No,59,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,85.55,5084.65,Yes,1,80,6304,Competitor offered more data,24,Yes,Yes,0,3,Churned,Q3,No,0,59,6.91,Fiber Optic,52,No,No,Yes,Yes,85.55,0.0,0,407.69,5492.339999999999
5073-WXOYN,1,United States,California,Belmont,94002,"37.509366, -122.306132",37.509366,-122.306132,Female,No,No,No,60,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.8,3027.4,Yes,1,67,4941,Competitor offered more data,58,No,No,0,2,Churned,Q3,No,0,60,0.0,Cable,5,No,No,Yes,Yes,50.8,0.0,0,0.0,3027.4
0207-MDKNV,1,United States,California,Daly City,94014,"37.691561, -122.445202",37.691561,-122.445202,Female,No,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,105.1,1582.75,Yes,1,84,2122,Competitor made better offer,54,No,No,0,1,Churned,Q3,No,0,15,22.39,Fiber Optic,7,Yes,Yes,Yes,Yes,105.1,0.0,0,335.85,1918.6
9851-KIELU,1,United States,California,Loma Mar,94021,"37.266388, -122.26308",37.266388,-122.26308,Male,No,No,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.1,1043.3,Yes,1,76,5803,Competitor made better offer,53,No,No,0,1,Churned,Q3,No,0,10,18.03,Fiber Optic,6,Yes,Yes,Yes,Yes,110.1,0.0,0,180.3,1223.6
3908-BLSYF,1,United States,California,Los Altos,94024,"37.352911, -122.093002",37.352911,-122.093002,Female,No,No,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,83.9,497.55,Yes,1,97,3962,Price too high,40,No,No,0,1,Churned,Q3,No,0,6,25.93,Fiber Optic,24,Yes,No,Yes,Yes,83.9,0.0,0,155.57999999999998,653.13
7549-MYGPK,1,United States,California,Mountain View,94040,"37.380662, -122.086022",37.380662,-122.086022,Female,No,Yes,No,63,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,100.55,6215.35,Yes,1,79,5413,Price too high,48,No,Yes,0,2,Churned,Q3,Yes,3,63,8.98,Fiber Optic,16,Yes,No,No,No,100.55,0.0,0,565.74,6781.09
3804-RVTGV,1,United States,California,Mountain View,94043,"37.419725, -122.062947",37.419725,-122.062947,Male,No,Yes,No,50,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.85,5017.9,Yes,1,100,5812,Price too high,55,No,Yes,0,2,Churned,Q3,Yes,6,50,42.21,Fiber Optic,14,Yes,No,Yes,Yes,103.85,0.0,0,2110.5,7128.4
9227-LUNBG,1,United States,California,Pescadero,94060,"37.22565, -122.297533",37.22565,-122.297533,Female,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,24.6,24.6,Yes,1,76,5768,Price too high,39,No,No,0,2,Churned,Q3,No,0,1,0.0,DSL,12,No,No,No,Yes,24.6,0.0,0,0.0,24.6
4315-MURBD,1,United States,California,San Bruno,94066,"37.624436, -122.430661",37.624436,-122.430661,Female,No,No,No,12,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.9,1120.95,Yes,1,71,5559,Price too high,64,No,No,0,1,Churned,Q3,No,0,12,34.92,Cable,23,No,Yes,Yes,Yes,98.9,0.0,0,419.04,1539.99
9734-YWGEX,1,United States,California,South San Francisco,94080,"37.654436, -122.426468",37.654436,-122.426468,Female,No,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),98.3,923.5,Yes,1,81,2954,Price too high,27,Yes,No,0,2,Churned,Q3,No,0,9,38.76,Fiber Optic,82,Yes,No,Yes,Yes,98.3,0.0,0,348.84,1272.34
2719-BDAQO,1,United States,California,Sunnyvale,94086,"37.378541, -122.020456",37.378541,-122.020456,Male,No,No,No,17,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,93.85,1625.65,Yes,1,93,4940,Price too high,36,No,No,0,1,Churned,Q3,No,0,17,4.51,Fiber Optic,13,No,No,Yes,Yes,93.85,0.0,0,76.67,1702.3200000000002
0781-LKXBR,1,United States,California,San Francisco,94102,"37.7795, -122.419233",37.7795,-122.419233,Male,Yes,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,918.6,Yes,1,70,4038,Price too high,65,No,No,0,1,Churned,Q3,No,0,9,48.71,Fiber Optic,15,Yes,No,Yes,Yes,100.5,0.0,0,438.39,1356.99
1907-UBQFC,1,United States,California,San Francisco,94108,"37.791998, -122.408653",37.791998,-122.408653,Male,Yes,No,No,10,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,72.85,688.65,Yes,1,99,3189,Price too high,69,No,No,0,1,Churned,Q3,No,0,10,5.46,Fiber Optic,24,No,No,No,No,72.85,0.0,30,54.6,773.25
6513-EECDB,1,United States,California,San Francisco,94114,"37.758085, -122.434801",37.758085,-122.434801,Male,Yes,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.55,73.55,Yes,1,94,4369,Price too high,75,No,Yes,0,2,Churned,Q3,No,0,1,36.92,Fiber Optic,6,No,No,No,Yes,73.55,0.0,0,36.92,110.47
7074-IEVOJ,1,United States,California,San Francisco,94130,"37.820894, -122.369725",37.820894,-122.369725,Female,Yes,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.4,205.05,Yes,1,91,3501,Product dissatisfaction,75,No,No,0,1,Churned,Q3,No,0,3,41.9,Fiber Optic,11,No,No,No,Yes,79.4,0.0,0,125.69999999999999,330.75
9625-QSTYE,1,United States,California,San Francisco,94131,"37.746699, -122.442833",37.746699,-122.442833,Female,No,No,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.15,952.3,Yes,1,79,4806,Service dissatisfaction,37,No,No,0,1,Churned,Q3,No,0,13,3.84,Fiber Optic,4,Yes,No,No,Yes,81.15,0.0,0,49.92,1002.2199999999999
4750-ZRXIU,1,United States,California,Palo Alto,94304,"37.386978, -122.177746",37.386978,-122.177746,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.6,360.1,Yes,1,83,2467,Lack of self-service on Website,68,No,No,0,1,Churned,Q3,No,0,4,6.68,Cable,17,No,No,No,Yes,84.6,0.0,0,26.72,386.82000000000005
6400-BWQKW,1,United States,California,San Mateo,94402,"37.556634, -122.317723",37.556634,-122.317723,Female,No,No,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.05,434.5,Yes,1,99,3263,Network reliability,51,No,No,0,1,Churned,Q3,No,0,6,19.74,Fiber Optic,27,No,No,No,Yes,79.05,0.0,0,118.44,552.94
6680-WKXRZ,1,United States,California,Antioch,94509,"37.980057, -121.801599",37.980057,-121.801599,Female,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),74.4,215.8,Yes,1,97,2054,Don't know,32,No,No,0,3,Churned,Q3,No,0,3,23.82,Fiber Optic,24,No,No,No,Yes,74.4,0.0,0,71.46000000000001,287.26
7028-DVOIQ,1,United States,California,Birds Landing,94512,"38.140719, -121.838298",38.140719,-121.838298,Male,Yes,No,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.05,3395.8,Yes,1,82,2074,Don't know,71,No,No,0,1,Churned,Q3,No,0,35,20.83,Fiber Optic,19,Yes,No,No,No,99.05,0.0,120,729.05,4244.85
4208-UFFGW,1,United States,California,Byron,94514,"37.83323, -121.601461",37.83323,-121.601461,Male,Yes,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.95,85.15,Yes,1,84,5900,Don't know,80,No,No,0,2,Churned,Q3,No,0,2,26.62,DSL,11,No,No,No,Yes,44.95,0.0,0,53.24,138.39000000000001
9448-REEVD,1,United States,California,Concord,94520,"38.013825, -122.039144",38.013825,-122.039144,Male,No,Yes,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),44.7,44.7,Yes,1,74,3700,Don't know,21,Yes,Yes,0,3,Churned,Q3,Yes,1,1,32.08,DSL,73,No,No,Yes,Yes,44.7,0.0,0,32.08,76.78
9117-SHLZX,1,United States,California,Fremont,94538,"37.505768, -121.962472",37.505768,-121.962472,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.7,45.7,Yes,1,72,3571,Poor expertise of phone support,36,No,No,0,3,Churned,Q3,No,0,1,10.41,DSL,17,No,No,No,Yes,45.7,0.0,0,10.41,56.11
9889-TMAHG,1,United States,California,Fremont,94539,"37.516791, -121.899117",37.516791,-121.899117,Male,Yes,No,No,8,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),100.3,832.35,Yes,1,74,5084,Competitor had better devices,66,No,No,0,1,Churned,Q3,No,0,8,11.57,Fiber Optic,27,No,Yes,Yes,Yes,100.3,0.0,0,92.56,924.9100000000001
3158-MOERK,1,United States,California,Hayward,94545,"37.62984, -122.120843",37.62984,-122.120843,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.0,174.8,Yes,1,83,3391,Competitor offered more data,57,No,No,0,2,Churned,Q3,No,0,2,48.34,Fiber Optic,28,No,No,Yes,Yes,96.0,0.0,0,96.68,271.48
