gender,senior_citizen,dependents,phone_service,multiple_lines,online_security,online_backup,device_protection,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,total_charges,churn_value,cltv,under_30,married,number_of_dependents,satisfaction_score,referred_a_friend,number_of_referrals,tenure_in_months,avg_monthly_long_distance_charges,internet_type,avg_monthly_gb_download,premium_tech_support,streaming_music,unlimited_data,monthly_charge,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue
Male,Yes,No,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,793.55,1,3856,No,No,0,1,No,0,10,7.51,Fiber Optic,18,No,No,Yes,79.25,0.0,0,75.1,868.65
Male,No,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),462.8,1,5701,No,No,0,3,No,0,5,40.15,Fiber Optic,19,No,Yes,Yes,94.85,0.0,0,200.75,663.55
Female,No,No,Yes,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,169.8,1,2187,No,No,0,2,No,0,2,14.07,Fiber Optic,6,No,Yes,Yes,85.7,0.0,0,28.14,197.94
Female,No,No,Yes,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.4,1,3204,No,No,0,2,No,0,1,26.53,DSL,30,No,No,Yes,44.4,0.0,0,26.53,70.93
Male,Yes,No,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,477.7,1,2718,No,No,0,2,No,0,5,45.72,Fiber Optic,6,No,No,Yes,89.5,0.0,0,228.6,706.3
Male,Yes,No,Yes,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.05,1,4843,No,Yes,0,1,No,0,1,38.78,Fiber Optic,23,No,No,Yes,86.05,0.0,0,38.78,124.83
Male,No,No,No,No phone service,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,174.3,1,5605,No,No,0,2,No,0,4,0.0,Cable,20,No,Yes,No,44.55,0.0,10,0.0,184.3
Male,No,Yes,No,No phone service,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1077.5,1,2067,No,Yes,3,1,Yes,1,31,0.0,DSL,23,Yes,No,Yes,35.4,0.0,0,0.0,1077.5
Female,No,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.65,1,3473,No,No,0,2,No,0,1,32.33,Fiber Optic,9,No,Yes,Yes,95.65,0.0,0,32.33,127.98
Female,Yes,No,No,No phone service,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,329.8,1,3244,No,No,0,1,No,0,10,0.0,DSL,4,No,No,Yes,34.7,0.0,0,0.0,329.8
Male,No,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1515.1,1,5775,No,Yes,0,3,Yes,1,17,17.71,Fiber Optic,13,No,Yes,Yes,92.55,0.0,0,301.07,1816.1699999999998
Male,Yes,No,Yes,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,3229.65,1,5271,No,Yes,0,1,Yes,1,53,21.67,Cable,6,Yes,No,No,60.05,0.0,100,1148.51,4478.16
Male,Yes,No,Yes,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),1178.25,1,2076,No,Yes,0,1,Yes,1,16,26.12,Fiber Optic,8,No,No,Yes,74.3,0.0,0,417.92,1596.17
Male,No,No,Yes,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,758.6,1,2752,Yes,No,0,2,No,0,9,49.14,Fiber Optic,58,No,No,Yes,85.35,0.0,0,442.26,1200.8600000000001
Female,No,No,Yes,No,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,1863.8,1,5175,No,No,0,1,No,0,25,1.37,DSL,21,Yes,No,Yes,74.3,0.0,0,34.25,1898.05
Female,No,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),396.3,1,2895,No,No,0,1,No,0,4,5.63,Fiber Optic,18,Yes,Yes,Yes,98.1,0.0,0,22.52,418.82
Female,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,5551.15,1,5855,No,No,0,1,No,0,50,27.7,Fiber Optic,28,Yes,Yes,Yes,109.65,0.0,0,1385.0,6936.15
Female,Yes,No,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,622.9,1,3145,No,No,0,1,No,0,9,17.56,Fiber Optic,27,No,No,Yes,74.55,33.25,0,158.04,747.6899999999999
Male,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,329.95,1,5351,No,No,0,1,No,0,3,11.94,Cable,30,No,Yes,No,100.95,0.0,10,35.82,375.77
Male,No,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1048.85,1,2832,Yes,No,0,1,No,0,10,40.22,Fiber Optic,41,No,Yes,Yes,94.9,0.0,0,402.2,1451.05
Male,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,3351.55,1,3966,No,Yes,0,1,Yes,1,32,43.51,Fiber Optic,22,Yes,No,Yes,104.9,33.73,0,1392.32,4710.14
Male,No,No,No,No phone service,No,No,No,No,No,One year,No,Bank transfer (automatic),259.8,1,3195,No,Yes,0,2,Yes,1,9,0.0,DSL,15,No,No,Yes,24.1,0.0,0,0.0,259.8
Male,No,No,Yes,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,6890.0,1,5504,Yes,Yes,0,2,Yes,1,66,20.07,Fiber Optic,85,Yes,Yes,Yes,104.05,0.0,0,1324.6200000000001,8214.62
Male,No,No,Yes,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,262.05,1,5202,No,No,0,2,No,0,3,49.4,Fiber Optic,10,Yes,No,Yes,88.35,0.0,0,148.2,410.25
Male,No,No,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),2649.15,1,5150,No,Yes,0,1,Yes,1,29,40.49,Fiber Optic,15,No,Yes,Yes,94.65,0.0,0,1174.21,3823.36
Male,Yes,No,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1,5429,No,Yes,0,3,Yes,1,1,17.36,Fiber Optic,29,No,No,No,74.4,0.0,30,17.36,121.76
Female,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),3326.2,1,4734,No,Yes,3,1,Yes,1,41,45.26,Cable,56,Yes,Yes,Yes,79.9,0.0,0,1855.6599999999999,5181.86
Male,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,560.85,1,3068,No,No,0,1,No,0,8,14.89,Fiber Optic,20,No,No,Yes,69.7,0.0,0,119.12,679.97
Female,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,1060.2,1,2709,No,Yes,0,3,Yes,1,12,30.63,Fiber Optic,27,No,No,Yes,98.1,49.06,0,367.56,1378.7
Female,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,347.65,1,4708,No,Yes,0,1,Yes,1,4,18.91,Fiber Optic,20,No,No,Yes,99.6,25.79,0,75.64,397.49999999999994
Female,No,No,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.95,1,5622,No,No,0,1,No,0,1,44.94,Fiber Optic,16,No,Yes,Yes,81.95,0.0,0,44.94,126.89
Male,No,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,451.1,1,4292,No,Yes,0,1,Yes,1,7,14.75,Fiber Optic,28,No,No,No,69.35,0.0,10,103.25,564.35
Female,No,No,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,455.3,1,2266,No,No,0,2,No,0,6,11.81,Fiber Optic,24,No,Yes,Yes,91.1,0.0,0,70.86,526.16
Male,No,No,Yes,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1235.55,1,2177,Yes,Yes,0,1,Yes,1,14,7.26,Fiber Optic,42,No,No,Yes,86.1,0.0,0,101.64,1337.19
Male,No,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),2362.1,1,5641,No,No,0,1,No,0,25,34.88,Fiber Optic,8,No,Yes,Yes,94.7,0.0,0,872.0000000000001,3234.1
Male,No,No,Yes,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1873.7,1,5248,No,Yes,0,1,Yes,1,22,16.2,Fiber Optic,17,No,Yes,Yes,85.1,0.0,0,356.4,2230.1
Female,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,6010.05,1,5612,No,Yes,0,3,Yes,1,61,49.33,Fiber Optic,7,No,Yes,Yes,99.15,0.0,0,3009.13,9019.18
Male,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,7101.5,1,5005,No,Yes,0,1,Yes,1,70,17.45,Fiber Optic,20,No,No,Yes,102.95,15.24,0,1221.5,8307.76
Male,No,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.05,1,2644,No,No,0,3,No,0,1,13.84,DSL,26,No,No,No,45.05,0.0,70,13.84,128.89
Female,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.0,1,5345,No,No,0,3,No,0,1,28.64,Fiber Optic,5,No,No,Yes,71.0,0.0,0,28.64,99.64
Female,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),3309.25,1,4457,No,Yes,0,3,Yes,1,47,26.95,Fiber Optic,26,No,No,Yes,70.55,26.99,0,1266.6499999999999,4548.91
Female,No,No,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.7,1,2066,No,No,0,3,No,0,1,33.88,Fiber Optic,26,No,Yes,Yes,79.7,0.0,0,33.88,113.58000000000001
Male,No,No,Yes,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,1254.7,1,2195,No,No,0,3,No,0,22,49.43,Cable,17,No,No,Yes,59.0,0.0,0,1087.46,2342.16
Female,No,No,Yes,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),2896.4,1,2681,No,No,0,1,No,0,48,33.91,DSL,13,Yes,No,Yes,60.35,0.0,0,1627.6799999999998,4524.08
Female,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.25,1,4568,No,Yes,0,1,Yes,1,1,37.3,Fiber Optic,8,No,No,Yes,69.25,0.0,0,37.3,106.55
Male,No,No,Yes,No,No,No,No,No,No,Month-to-month,No,Mailed check,1767.35,1,4881,No,No,0,1,No,0,25,24.91,Fiber Optic,18,No,No,No,70.95,0.0,20,622.75,2410.1
Male,No,No,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,1820.45,1,4594,No,Yes,0,2,Yes,1,20,18.05,Fiber Optic,5,No,Yes,Yes,89.0,0.0,0,361.0,2181.45
Male,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1742.95,1,2421,No,Yes,0,1,Yes,1,18,11.3,Fiber Optic,16,No,Yes,Yes,99.4,0.0,0,203.4,1946.3500000000001
Female,No,No,Yes,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),73.5,1,4378,No,No,0,2,No,0,1,3.84,Fiber Optic,2,No,No,Yes,73.5,0.0,0,3.84,77.34
Male,No,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,829.1,1,5007,No,No,0,2,No,0,9,19.22,Fiber Optic,10,No,Yes,Yes,95.5,0.0,0,172.98,1002.08
Female,No,No,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,2602.9,1,2990,No,Yes,0,1,Yes,1,28,37.66,Fiber Optic,20,No,Yes,Yes,92.35,0.0,0,1054.48,3657.38
Male,No,No,Yes,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,824.75,1,4601,Yes,No,0,2,No,0,11,5.4,Fiber Optic,41,No,No,Yes,74.55,0.0,0,59.400000000000006,884.15
Male,Yes,No,Yes,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,1029.75,1,5565,No,No,0,1,No,0,12,28.63,Cable,7,Yes,No,No,83.8,44.58,80,343.56,1408.73
Male,Yes,No,No,No phone service,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2854.55,1,6280,No,No,0,2,No,0,53,0.0,DSL,25,No,No,Yes,54.45,20.16,0,0.0,2834.3900000000003
Male,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,4259.3,1,4726,No,Yes,0,1,No,0,41,22.56,Fiber Optic,15,No,No,Yes,99.8,8.88,0,924.9599999999999,5175.38
Female,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),2239.65,1,4223,No,Yes,0,2,Yes,3,20,28.79,Fiber Optic,16,No,Yes,Yes,105.85,0.0,0,575.8,2815.45
Female,No,No,Yes,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,480.75,1,2872,No,No,0,1,No,0,7,18.1,Fiber Optic,15,No,No,Yes,75.45,0.0,0,126.70000000000002,607.45
Male,No,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,635.6,1,3506,No,No,0,1,No,0,7,15.51,Fiber Optic,23,No,Yes,Yes,93.85,0.0,0,108.57,744.1700000000001
Male,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,2095.0,1,4152,No,No,0,2,No,0,22,35.93,Fiber Optic,17,No,Yes,Yes,100.75,0.0,0,790.46,2885.46
Female,No,Yes,No,No phone service,No,No,No,No,No,Month-to-month,Yes,Mailed check,95.05,1,5122,No,Yes,1,3,Yes,1,3,0.0,DSL,19,Yes,No,No,31.0,0.0,20,0.0,115.05
Male,No,No,Yes,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),4242.35,1,4769,No,No,0,3,No,0,51,5.62,Fiber Optic,16,No,No,Yes,80.0,0.0,0,286.62,4528.97
Male,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,331.9,1,3684,No,No,0,2,No,0,5,2.27,Fiber Optic,17,No,No,Yes,70.25,12.48,0,11.35,330.77
Female,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,6283.3,1,4120,No,Yes,0,1,Yes,1,62,48.58,Fiber Optic,13,No,Yes,Yes,100.15,0.0,0,3011.96,9295.26
Male,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),2659.4,1,5433,No,No,0,1,No,0,28,35.52,Fiber Optic,26,No,Yes,Yes,94.5,0.0,0,994.5600000000001,3653.96
Male,No,No,No,No phone service,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,298.45,1,2529,No,No,0,1,No,0,10,0.0,DSL,30,No,Yes,Yes,33.9,0.0,0,0.0,298.45
Male,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,6143.15,1,6363,No,Yes,0,1,Yes,1,69,16.34,Fiber Optic,4,No,No,No,89.95,6.79,110,1127.46,7373.82
Male,No,No,Yes,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1059.55,1,3330,No,No,0,2,No,0,12,12.36,Fiber Optic,23,No,No,Yes,84.45,0.0,0,148.32,1207.87
Male,No,No,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,2180.55,1,2518,No,No,0,1,No,0,27,24.72,Fiber Optic,29,Yes,No,Yes,79.5,0.0,0,667.4399999999999,2847.9900000000002
Male,No,No,Yes,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,89.15,1,3123,No,Yes,0,1,Yes,1,1,32.35,Fiber Optic,18,No,Yes,Yes,89.15,0.0,0,32.35,121.5
Male,Yes,No,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,1036.75,1,2075,No,No,0,3,No,0,14,16.32,Fiber Optic,11,No,No,Yes,74.95,39.29,0,228.48000000000002,1225.94
Female,Yes,No,Yes,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,2276.95,1,2091,No,No,0,1,No,0,32,33.22,Fiber Optic,9,No,No,Yes,74.4,44.31,0,1063.04,3295.68
Female,No,No,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,196.15,1,3190,No,No,0,1,No,0,3,25.96,DSL,7,No,Yes,Yes,55.3,0.0,0,77.88,274.03
Female,No,Yes,Yes,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,1206.05,1,5115,No,Yes,1,2,Yes,1,22,5.26,DSL,19,Yes,No,No,55.15,0.0,30,115.72,1351.77
Female,No,No,Yes,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1378.25,1,3075,No,Yes,0,3,Yes,1,16,6.82,Fiber Optic,7,No,No,Yes,84.95,0.0,0,109.12,1487.37
Male,No,No,No,No phone service,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,219.0,1,5824,No,No,0,2,No,0,5,0.0,Cable,59,Yes,No,Yes,43.25,0.0,0,0.0,219.0
Male,No,No,Yes,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),1067.15,1,4580,No,Yes,0,2,Yes,1,23,5.8,DSL,12,No,No,Yes,48.35,0.0,0,133.4,1200.5500000000002
Male,No,No,Yes,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.55,1,5593,No,No,0,2,No,0,1,4.04,Fiber Optic,6,No,No,Yes,79.55,0.0,0,4.04,83.59
Female,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,3444.85,1,5746,No,Yes,0,3,Yes,1,50,4.6,Cable,24,No,No,Yes,71.05,0.0,0,229.99999999999997,3674.85
Male,No,No,Yes,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,84.5,1,4340,No,No,0,2,No,0,1,6.89,Fiber Optic,12,No,No,Yes,84.5,0.0,0,6.89,91.39
Male,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),7690.9,1,4982,No,Yes,0,1,Yes,1,71,5.76,Fiber Optic,11,Yes,Yes,No,108.6,0.0,20,408.96,8119.86
Male,No,No,No,No phone service,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),1380.1,1,2243,No,No,0,2,No,0,46,0.0,DSL,26,No,No,Yes,30.3,0.0,0,0.0,1380.1
Female,Yes,No,No,No phone service,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,78.65,1,4002,No,No,0,1,No,0,2,0.0,DSL,13,No,No,Yes,30.4,0.0,0,0.0,78.65
Female,No,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.4,1,2168,No,No,0,2,No,0,1,38.31,Cable,26,No,No,Yes,45.4,0.0,0,38.31,83.71000000000001
Female,No,No,Yes,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),2585.95,1,4017,No,Yes,0,2,Yes,1,32,37.48,Fiber Optic,13,No,Yes,Yes,84.15,0.0,0,1199.36,3785.3099999999995
Female,No,No,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),425.9,1,3716,No,No,0,2,No,0,5,43.51,Fiber Optic,17,Yes,Yes,Yes,85.4,0.0,0,217.54999999999998,643.4499999999999
Male,No,No,Yes,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),3678.3,1,5283,No,No,0,2,No,0,49,19.08,Fiber Optic,24,No,No,No,75.2,0.0,20,934.92,4633.22
Female,No,No,Yes,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,937.5,1,5472,No,No,0,2,No,0,17,24.31,DSL,21,No,No,Yes,55.85,0.0,0,413.27,1350.77
Male,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2483.5,1,5507,No,No,0,1,No,0,23,17.62,Fiber Optic,29,No,No,Yes,106.4,0.0,0,405.26000000000005,2888.76
Male,No,No,Yes,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,556.35,1,4539,No,No,0,3,No,0,6,21.97,Fiber Optic,9,No,Yes,Yes,84.4,0.0,0,131.82,688.1700000000001
Female,No,No,Yes,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,389.1,1,4110,No,No,0,1,No,0,6,17.18,DSL,22,No,No,Yes,56.25,0.0,0,103.08,492.18
Female,Yes,No,Yes,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,187.45,1,5512,No,No,0,3,No,0,2,5.49,Fiber Optic,25,No,No,Yes,85.55,0.0,0,10.98,198.42999999999998
Female,No,No,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),261.25,1,5274,No,No,0,3,No,0,4,10.64,DSL,23,No,Yes,Yes,68.65,0.0,0,42.56,303.81
Male,No,No,Yes,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,299.2,1,2140,No,No,0,2,No,0,4,42.8,Fiber Optic,28,No,No,No,77.85,0.0,10,171.2,480.4
Male,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),323.25,1,3662,No,No,0,3,No,0,3,13.83,Fiber Optic,14,No,Yes,Yes,105.35,0.0,0,41.49,364.74
Female,No,No,Yes,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,762.1,1,2545,No,No,0,1,No,0,8,45.59,Fiber Optic,8,No,No,Yes,87.05,0.0,0,364.72,1126.8200000000002
Male,No,No,Yes,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,53.5,1,5094,Yes,No,0,1,No,0,1,14.58,DSL,73,No,No,Yes,53.5,0.0,0,14.58,68.08
Female,No,No,No,No phone service,No,No,No,No,No,Month-to-month,Yes,Mailed check,25.1,1,4769,No,No,0,1,No,0,1,0.0,Cable,28,No,No,Yes,25.1,0.0,0,0.0,25.1
Male,Yes,No,Yes,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,2365.15,1,2174,No,Yes,0,3,Yes,1,30,6.23,Fiber Optic,4,No,No,Yes,79.65,0.0,0,186.9,2552.05
Female,No,No,Yes,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,308.25,1,5476,Yes,No,0,1,No,0,5,3.61,DSL,69,Yes,No,Yes,54.2,0.0,0,18.05,326.3
Male,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,7372.65,1,5055,No,Yes,0,3,Yes,1,72,3.07,Fiber Optic,23,No,Yes,Yes,103.4,0.0,0,221.04,7593.69
Female,No,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,1058.6,1,5801,No,No,0,2,No,0,13,21.88,Fiber Optic,4,No,No,Yes,84.45,0.0,0,284.44,1343.04
Female,Yes,No,Yes,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),2628.6,1,2431,No,Yes,0,3,No,0,32,48.95,Fiber Optic,9,No,No,Yes,85.95,0.0,0,1566.4,4195.0
Female,Yes,No,Yes,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,1023.9,1,5556,No,No,0,1,No,0,16,36.83,DSL,16,Yes,No,Yes,59.4,0.0,0,589.28,1613.1799999999998
Female,No,No,No,No phone service,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,856.35,1,3615,No,No,0,2,No,0,29,0.0,DSL,7,No,No,Yes,30.6,0.0,0,0.0,856.35
Female,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,3734.25,1,3474,No,No,0,1,No,0,38,47.39,Fiber Optic,2,Yes,No,Yes,99.55,0.0,0,1800.82,5535.07
Female,No,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1144.5,1,4390,No,No,0,1,No,0,17,7.66,Fiber Optic,17,No,No,No,70.0,0.0,80,130.22,1354.72
Female,No,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.3,1,2293,No,No,0,1,No,0,1,26.41,Cable,26,No,No,Yes,45.3,0.0,0,26.41,71.71
Male,No,No,No,No phone service,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.6,1,4268,No,No,0,2,No,0,2,0.0,Cable,11,Yes,No,Yes,29.85,0.0,0,0.0,75.6
Male,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),180.25,1,4486,No,No,0,3,No,0,2,12.96,Fiber Optic,20,Yes,No,Yes,95.1,0.0,0,25.92,206.17000000000002
Female,No,No,Yes,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),333.6,1,4580,No,No,0,1,No,0,4,24.09,Fiber Optic,17,No,No,Yes,76.65,0.0,0,96.36,429.96000000000004
Female,No,No,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,465.05,1,2283,No,Yes,0,2,Yes,1,5,9.23,Fiber Optic,25,Yes,Yes,Yes,99.15,0.0,0,46.150000000000006,511.20000000000005
Male,No,No,Yes,No,No,No,No,No,No,Month-to-month,No,Mailed check,431.0,1,5023,No,No,0,1,No,0,9,2.88,DSL,26,No,No,No,44.95,0.0,10,25.919999999999998,466.92
Male,No,No,Yes,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,878.35,1,2815,No,Yes,0,1,Yes,1,18,19.05,DSL,26,No,No,Yes,49.55,0.0,0,342.90000000000003,1221.25
Male,No,No,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,2448.75,1,2241,No,No,0,1,No,0,25,5.27,Fiber Optic,4,No,Yes,Yes,95.9,0.0,0,131.75,2580.5
Male,Yes,No,Yes,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),1329.2,1,3443,No,Yes,0,2,Yes,1,17,9.5,Fiber Optic,16,No,No,Yes,81.5,0.0,0,161.5,1490.7
Male,No,No,Yes,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,4348.65,1,6216,No,Yes,0,1,Yes,1,52,38.37,Fiber Optic,14,No,No,Yes,84.1,0.0,0,1995.2399999999998,6343.889999999999
Male,Yes,No,No,No phone service,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,93.7,1,3766,No,Yes,0,1,Yes,1,3,0.0,DSL,20,No,No,Yes,36.45,0.0,0,0.0,93.7
Female,Yes,No,No,No phone service,No,No,No,No,No,Month-to-month,No,Mailed check,25.05,1,4842,No,No,0,1,No,0,1,0.0,DSL,21,No,No,Yes,25.05,0.0,0,0.0,25.05
Female,No,No,Yes,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,365.55,1,2269,No,No,0,3,No,0,8,37.79,Cable,25,No,No,No,49.85,13.01,10,302.32,664.86
Female,Yes,No,No,No phone service,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),2342.2,1,2573,No,Yes,0,1,Yes,1,43,0.0,DSL,21,No,No,Yes,55.55,0.0,0,0.0,2342.2
Female,No,No,Yes,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),1498.2,1,5922,Yes,Yes,0,2,Yes,1,22,35.04,DSL,76,No,Yes,Yes,69.5,49.57,0,770.88,2219.51
Male,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,5278.15,1,4019,No,Yes,0,1,Yes,1,54,35.46,Fiber Optic,23,No,Yes,Yes,104.3,11.45,0,1914.8400000000001,7181.54
Female,No,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,1,3014,No,No,0,3,No,0,1,16.15,Fiber Optic,12,No,Yes,Yes,93.85,0.0,0,16.15,110.0
